"Data Source","World Development Indicators",

"Last Updated Date","2020-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Bosnia and Herzegovina","BIH","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5819.94277820696","7331.08592256662","14251.9897720062","19525.0553414734","22866.7783836186","25345.5507838009","26972.5714982575","28435.6836909189","30234.5948003003","31677.8457733498","33805.2851637768","37183.8153177807","39420.8196771987","39720.9883546485","38122.1746830135","37375.3459814655","38972.8881657905","40186.0084311728","40237.808039199","41070.7458196775","41886.7851201267","44030.2671404634","44571.3396918401","43755.1790705137","44518.9036283685","46187.6660286996","",
"Belarus","BLR","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19221.4768583238","17812.0879652234","17380.4042534328","16075.1532611614","15236.830800015","17008.1486385433","17268.0212934742","18016.7742824679","18301.3941273815","19007.554338359","19588.9285527555","20288.5604899376","21410.9054050404","23522.9897044883","25388.6660540179","27601.7506410106","29596.9093889782","32223.4966479197","31994.3300522981","34336.2921397817","36116.8634086196","36682.4895177745","37021.475607957","37622.7175919803","36160.9401481508","35217.9366186215","36104.9138250497","36964.6161673707","37725.4747328431","",
"Belize","BLZ","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17467.8006449652","19184.7518820086","20036.1366690776","19940.6817021741","19730.1284659432","19436.9487800307","18859.8062160555","18893.3589703387","19191.2321754907","20213.7546461608","19827.2881809248","20105.9016265283","21163.7143430753","21337.9005827563","20921.4450053227","20811.1595861783","20006.7461054402","19935.3901650543","19380.0459962966","19324.0933816184","19008.7688574273","18812.350444693","18430.5881627667","18324.5845735746","18070.733122922","17188.2101510157","16988.4110548163","16809.9530329365","16366.5217511752","",
"Bermuda","BMU","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11564.1900742222","11490.1795826131","11670.4296390726","11881.3975722645","12095.660857213","12303.8755285574","12573.5422967957","12886.2985771508","12643.2505646405","12652.8473823382","12505.073328649","12463.4832553485","12445.4594963008","12600.435232691","12788.6973738446","13028.662989731","13514.7926416264","13957.9908358351","14154.6356064985","14384.8418426121","14780.7761065104","15812.7749960994","16492.5869180891","16482.5924303368","18175.8590844164","18461.5532613726","18490.7872776841","18088.0542536584","18146.7331792884","",
"Brazil","BRA","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27640.1108158776","26689.6845441094","26986.8586119987","27630.8315084562","28033.420954237","28850.4183301197","29101.335484179","28819.4310788482","28278.9056899161","28661.2403072989","28270.0639752856","28161.1456720591","28102.7372426575","28567.6088046234","28815.5706058632","29294.7665361629","30582.4384895825","31281.0361653316","31031.2790258721","33118.2017695017","34195.868792954","34042.0990068752","34524.4270799902","34224.9081802296","33095.9529935142","32866.5826598611","33200.8913714426","33044.9224102354","33025.0298063844","",
"Barbados","BRB","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32893.6930784123","31197.0905524808","31635.2040581441","31213.4422652692","30038.1792809231","29574.6102895836","30765.5742699312","30984.054774562","30374.6601324188","31222.7766513922","30397.772343885","30577.3125567698","31277.7812160395","30760.3949958838","31661.929903173","33288.2125694249","33429.3135256649","33839.6715213314","32759.991268488","32300.6782520433","32104.4111318061","32434.1507743001","31445.110805875","32450.9800040579","32495.860467475","32169.9893817776","32275.7405162056","31924.9568287061","32234.6189017097","",
"Brunei Darussalam","BRN","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","175224.303550128","177698.295952973","172661.924302726","172021.32948288","173236.785512186","172499.082656032","164185.530588496","157671.893603161","156779.666504192","155157.693355349","155695.467323123","158359.763601157","159244.910741033","156043.367797934","152742.621288071","156784.073680102","154367.898343781","149061.519168068","145978.178208965","147710.311813922","150213.20866396","149358.713236368","144279.825064041","138334.284543474","137148.110159154","133378.266759295","134309.026982972","132555.595250779","136522.550643618","",
"Bhutan","BTN","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7018.00093310993","7376.52177504943","7580.83597160965","7996.27593168602","8554.63586610189","8854.06835281991","9067.92476223611","9278.2089527605","9649.78761297652","9953.81700286802","10397.7968403612","11082.2747022111","11475.0798667459","11791.8050259834","12284.9066396836","12829.9453302601","14937.5100444144","15322.3399903701","16067.0065682876","18025.3313360592","19557.4007315523","20637.5144140815","20603.853901136","21822.6361803134","21599.320662935","22803.363715462","23338.1283918297","23558.9252905823","24324.864004397","",
"Botswana","BWA","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32678.8861003215","33313.8109952726","33816.7407838853","34970.6187699227","36248.6593817261","37211.5890827309","38807.267631741","37467.2287831453","39007.8179268625","37958.2429600364","37711.3222350281","39747.151246197","41465.6067090209","39964.1063018874","39244.5573088833","39943.5194974519","41764.5821571623","42943.0940765122","38707.7269379137","44021.3640318189","42983.5528563384","42059.0867471736","44371.1977668277","45582.5888906731","44042.3182229543","44944.5067585292","45066.0339023636","45825.3074949728","46299.2503673768","",
"Central African Republic","CAF","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2963.86724054429","2695.88282201637","2627.31928578237","2675.19179508262","2786.01342577348","2606.56821313923","2679.15342234291","2739.30711447638","2772.65798826999","2637.39877795276","2700.96549083851","2745.02361790746","2543.34305816862","2642.38316960686","2611.93179392066","2685.96934890882","2758.48347543441","2768.30311802964","2973.67308550448","3079.97501542545","3201.4277501345","3366.68468795758","2135.14382853833","2136.93200013545","2224.48343187741","2303.02433815296","2370.22026172472","2415.59528632742","2431.00679716255","",
"Canada","CAN","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71260.336941083","72738.5427522397","74386.4962521393","76207.7657864729","76987.7333649456","77641.5830465999","73073.478291606","73270.7429381131","74258.6980445909","76059.208137305","76188.500847803","76916.1166490507","77924.0562315458","79669.5551235041","82593.3323929746","84599.8353615033","88345.141148936","87886.780464251","86736.8501371769","88165.6151769421","89717.598577368","90190.6244859434","91005.3984377633","93050.9992150774","93095.6857459855","93134.2790571513","94102.2860751018","94632.4073573844","94813.4329007968","",
"Central Europe and the Baltics","CEB","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29095.0555694621","28646.2394429876","29662.5336928392","31120.6043049107","32947.4444119724","34558.8856244027","34980.0771720018","35915.01373136","37178.5055557437","39586.2108086666","41304.0064763249","44337.9410218089","45977.303928346","48760.4624443884","50695.4431559671","52790.6997144691","54860.2194505483","56277.9232507002","55415.1992898077","56837.7609237288","58907.2354948162","59166.4958676907","59963.7057775358","60653.545840357","62358.2129237784","63529.6063661011","65347.1913137986","67748.8225157536","70582.5568948164","",
"Switzerland","CHE","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97683.7242837624","97936.8833309202","98133.5033120657","100280.563323952","99973.9843894527","99818.908058548","102680.231822153","103898.425874761","104567.306163745","108185.601024627","107855.69839088","107501.137199596","107633.541856552","110645.289788844","113581.890770807","115794.434322034","118133.438348574","117519.083121784","114020.144969115","119103.230845055","118243.355304543","118023.705605102","119017.156382177","119807.323000235","119573.409815244","119891.398731652","121150.249837979","123516.642878135","123886.463944093","",
"Channel Islands","CHI","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27737.5738179832","29704.6775348029","30943.8549095113","32230.0624012955","33796.9640930985","36291.9590450469","37975.6311568958","38882.0530060378","39733.9863369307","41252.295936709","42344.3775180917","43076.7590576155","43382.833730377","45263.2362579907","46078.0092757799","47339.058645142","47927.6224600862","48011.3622696944","47634.6378168126","47690.1052175493","48314.8249133532","49861.3601123915","50830.8792947313","51037.5861368736","51260.2204313292","51454.5793938507","51014.3047495361","52152.709874399","51703.475954838","",
"China","CHN","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2782.92930755067","3127.18246568621","3509.99004749342","3912.41571346042","4290.18023818129","4637.13695453633","5012.44172352177","5361.47066928321","5719.76780302753","6131.34365587744","6642.7291230081","7221.8993015175","7898.24309343567","8615.49998898254","9537.22932280954","10679.9508281608","12137.0998203619","13303.3274452649","14549.1643407273","16055.3462132689","17535.077034709","18860.4035483165","20279.1580986279","21748.5774857692","23257.6983555665","24814.7803056246","26516.754343084","28308.2689613838","30142.5389746916","",
"Cote d'Ivoire","CIV","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12519.6696354037","12047.6390010633","11483.0818487232","11058.4320439305","11348.9547974816","11867.3639156107","11943.6370259349","12173.7768056882","12117.7280031433","11634.2335694571","11516.4817693831","11216.7765108064","10961.0765790155","10984.6403036887","11051.0410438475","11072.8174572097","11110.1134743424","11231.5498640667","11471.1640873658","11540.9350474626","10861.0189368329","11832.0644870132","12243.7614095242","12973.6582533583","13755.5843260746","14381.2121576192","15128.7673401625","15716.9361906019","16241.419206169","",
"Cameroon","CMR","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7319.28496495893","6893.87311845105","6170.23038619435","6122.02195270877","6152.22662414596","6246.6146906451","6382.00100535641","6473.36534722553","6555.92376750427","6582.95942160175","6672.45090286286","6706.85873058055","6759.48089347649","6955.09583366756","6835.71237821222","6822.95166230402","6907.51173987397","7114.55960684677","7268.84556121684","7522.01267079126","7594.18509197129","7697.26314620055","7866.17770700842","8070.82175090094","8274.85279994678","8406.39412615144","8446.62158674255","8529.32391878237","8597.49295228438","",
"Congo, Dem. Rep.","COD","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4266.15715071661","3669.09450834021","3049.53194444123","2824.39730314013","2751.84533984117","2651.70225786062","2440.57512059615","2345.36803029206","2191.20379329951","1984.93450484851","1891.11936011466","1893.0477294835","1940.43856405236","2008.48209150897","2065.61058173652","2144.90322437256","2245.54702597679","2350.62411883575","2388.83306785767","2524.90427541711","2667.79717683394","2824.57879917007","2968.12623268508","3144.39151918128","3251.79847287134","3221.18708846889","3230.24569563814","3305.04448302032","3345.65988663978","",
