"Data Source","World Development Indicators",

"Last Updated Date","2021-02-17",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Bahamas, The","BHS","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","","","","","","","","","","","","","","","","109300000","128400000","143800000","167000000","197300000","208900000","238000000","264000000","289100000","300100000","326400000","","415270000","407120000","440580000","427270000","397990000","482680000","476200000","516870000","635500000","650800000","705500000","747400000","802400000","846300000","862300000","907700000","959200000","1041000000","1072200000","1177300000","1265000000","1263700000","1385600000","1403090000","1344200000","1339200000","1445400000","1382400000","1577700000","1577400000","1927900000","",
"Bosnia and Herzegovina","BIH","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1629965206.92974","2033463185.22793","2299532063.49206","2425249570.80181","2686114424.98878","3326238628.41148","4220361743.55902","4132474607.57156","3972490688.69777","4305065036.6053","4025127447.11602","4149384970.47044","4242631257.63126","3566227955.76978","3545557377.97636","3666266566.78576","3990185878.09294","3927751130.44474","",
"Belarus","BLR","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5150000000","4000000000","2592592592.59259","3008264462.80992","3063108425.64619","2871348663.76631","3032769230.76923","2871167770.75951","3023803329.86472","2367448203.9351","2480952515.75164","2662805755.39568","3069067560.02233","3811457825.451","4768472222.22222","6278737233.05478","7097948717.94872","8386812674.74371","10041151685.3933","8190762620.83781","9167841557.56965","8305407035.17588","8911299028.42749","10143265765.7658","10840267996.8701","8424042446.3142","7470094491.35505","8566268177.81918","9448616018.8457","9999139497.08385","",
"Belize","BLZ","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","","","","","","","","","","","","","","","","","","","30598844.2200765","32356135.8436355","34214348.7251355","36179278.77242","38257054.7523201","40454157.4067459","42777439.6666152","45234148.026669","47831945.1478406","50578933.757681","53483681.9233845","58200000","70083550","83084450","88794350","88563700","90697100","95077100","98749700","98945900","107405650","114144050","133424200","144803700","147663350","161001600","172585350","194061900","210451250","212629650","222796800","229364750","235180200","245254200","255470600","268898500","298316650","305550300","327303800","328774950","",
"Bermuda","BMU","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","916649000","886595000","899708000","882953000","823230000","832027000","837000000","830432000","844669000","897696000","",
"Bolivia","BOL","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","32304379.0380474","37563231.43959","41069133.0406184","46161037.7468739","51252942.4531294","69612794.6127946","77777777.7777778","82239057.2390572","90740740.7407407","97138047.1380471","98653198.6531987","113215488.215488","127792403.159082","124437781.109445","197301349.325337","252023988.005997","296301849.075462","378510744.627686","476811594.202899","666166747.535938","611745513.866232","774877650.897227","655515617.659591","487846997.36649","821133259.564209","567910296.821346","374061374.846511","483740905.662214","523508237.4566","563118944.302443","572207775.834082","645186002.345976","726397384.950647","766751307.120583","811529704.577427","911431368.872779","985813463.130099","1101948309.00405","1208255022.59487","1226016619.64077","1220997655.04973","1280186017.64822","1262339191.07392","1335298986.83936","1426434853.83065","1525422942.93401","1643827949.47326","1844520964.94803","2213912520.89579","2550498717.94872","2717783430.95757","3301411448.6591","3640055431.86865","4243716782.72444","4852764757.31533","5773469891.90145","5925527409.49074","6384586055.25203","7060670022.26667","7419676048.60946","",
"Brazil","BRA","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","2138974629.37547","2231397941.40397","2326350972.23237","2966120462.55023","2484615117.43754","2369143212.96947","3017566424.24558","3529668109.99594","3771368224.9048","4051070562.89625","4793453718.79043","5423630148.39019","6294656311.57992","8281010087.40018","10243651651.0189","13159614701.0133","16062972517.3168","16622737159.8975","19388031460.2157","21913453012.1884","21617804789.319","24559797774.6854","28184385846.1171","19640729543.5582","17317201192.6828","22002970828.7361","28621223440.4954","35771188291.3845","41603302534.6565","65963601562.5","89120000000","107910000000","68354375000","77332826086.9565","88359142812.4511","160999653154.626","167966249427.918","172535650463.822","173353880137.872","118575189287.486","123008335720.142","108201029589.321","100625653655.874","106513362820.929","123606614769.231","168428953171.213","210882714706.018","264649515381.85","319483052459.374","327580029808.943","420057980900.409","488425394548.063","456802007065.69","467174064282.733","470409689757.756","356420992515.555","365951078394.867","416042489189.697","378697528326.674","373150131322.094","",
"Barbados","BRB","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","","","","","","","","","","","","","","66705113.6082372","75537977.8421","85743970.500299","94302689.8026152","104559240.292348","128374683.040819","159697707.950082","163575796.748372","172077760.652314","192711181.822702","226868194.699945","233083080.59464","247352458.60886","267140655.297569","305324914.234575","285586436.633023","269775766.916919","238400000","257793466.911948","260776612.141401","273405260.279421","314274349.922935","324615920.051708","378163376.9204","383632476.507731","414250000","420650000","454750000","620700000","608650000","637750000","611850000","608277950","637460800","708118150","698792050","720427200","701413800","691770900","673830500","642925350","648578300","605105700","601058900","589972250","",
"Brunei Darussalam","BRN","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","","","","","","","","","","","","","185481554.433912","201998903.555012","131941071.717662","129949987.701894","82673702.7264732","108065851.191024","409116383.336447","191224499.455673","235514018.691589","363464268.812115","","","","","","725529405.732451","775172413.793103","835841630.006946","976058931.860037","1060774848.37232","1104491292.3923","1266403273.59955","1290070921.98582","1307920258.62069","1209966539.19694","1316224188.79056","1549160034.80278","1646639950.88463","1587620462.41483","1578204855.92928","1736076677.31629","1754607366.01778","2071810686.63856","2770486364.54117","2467118261.36043","2499312525.78028","3036303630.36304","3469274187.13729","3512323943.66197","3648497442.45524","3662194159.43173","3240573714.45196","2989613842.03287","3211184082.84452","3275332344.8736","3372796877.29072","",
"Bhutan","BTN","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","","","","","","","","","","","","","","","","","","","31051526.7175573","28202655.8891455","29506871.0359408","33833168.3168317","39868838.028169","40873484.236055","37420301.3481364","35510802.4691358","35807471.2643678","54158964.8798521","44717304.3974871","44639401.9349165","46882716.0493827","38652017.0547721","40261396.2384444","36154794.9429541","65845328.8173864","80250619.6640044","73657295.2011634","76014862.9818857","96372040.4984424","102587980.504344","110891287.800864","127083312.580507","146728175.198588","179399208.61678","190792762.707749","228660635.815084","238421393.304708","270261136.693709","316841874.827778","365280759.794731","349777787.758341","311854711.269024","330889815.58099","365780983.883564","372963381.367447","411765756.67674","418827744.025033","462971756.723558","",
