"ï»¿""Data Source""",World Development Indicators,

Last Updated Date,2020-12-16,

Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Unnamed: 65
Bahrain,BHR,milt spending per person (current US$ per capita),,,,,,,,,,,,,,,,,,,,,,48656.73151624373,63981.88958075959,80624.48834459315,45131.12400580193,40082.593360616396,39948.022423243536,41107.199723563346,39688.860837399814,44593.22879948724,45331.739661013205,45073.89900772079,51651.34030532515,53389.108544126306,52077.870653497004,51780.073561044475,53786.249629945116,55612.13145611844,54091.739061894164,53737.53202583559,57246.171615096166,54022.915072175674,53378.63092203381,60174.03384137219,66258.09155372967,64098.14352823541,57727.891173274074,59910.503547195956,62027.43437690917,64590.01674177041,69885.17610772968,67922.10863373526,80859.82315844334,90940.8972986372,102477.31289414325,110417.90000163221,104861.09595969206,105614.19739377392,103015.47718688849,97389.05991644584,86735.44695218319,,
"Bahamas, The",BHS,milt spending per person (current US$ per capita),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,milt spending per person (current US$ per capita),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6907.615871912941,5376.53819230068,5319.231706199209,4602.704368217606,4737.106354715876,5183.650845281873,6214.053294118184,6490.194458374635,5935.045527174449,5787.330151607527,5474.271323109676,5578.1121500353565,5467.2828822217125,4730.179212029007,4664.538727686638,4661.912166815924,5281.965004212877,5716.298076924697,,
Belarus,BLR,milt spending per person (current US$ per capita),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2705.8114288486536,4437.912226921161,5287.762001816005,2329.4151513714983,1831.08721986676,2470.3649476445357,2260.2454441392215,1654.6165677602469,1719.1397537343387,1789.770438040908,2071.4040321047187,2363.992394074792,3230.699223246936,4683.880596573112,6576.851953244317,7812.726503729006,9269.46131732086,7345.147217491726,8087.732977811174,7982.7654932016085,8632.896879958595,10258.964674173145,10669.016563359588,7625.8030339676925,6349.365196009293,6662.768943320523,7587.922577611873,8282.767260900617,,
Belize,BLZ,milt spending per person (current US$ per capita),,,,,,,,,,,,,,,,,,,,,,,1540.0718648333843,1728.960249117564,1891.6422930979347,2064.2004338449347,2011.188615095705,,,,2413.018945947968,2584.564893911743,2545.6670279839345,2724.3452922216416,3103.502701574689,3918.2280111913983,3891.8543829246005,3728.712332163737,4239.448664973822,,,2877.352768736226,2910.9420476564806,2960.2198003954672,3152.2952312399793,3409.665678101059,3732.96787461249,4190.92733439242,4533.74848029576,6023.388627163058,5414.127053518118,4689.756336210182,4587.233899715491,4384.856902518344,5049.783299518899,5535.933248824442,5343.005904310357,5790.921242388002,6022.3736960022725,5884.774513632469,5611.563791153554,,
Bermuda,BMU,milt spending per person (current US$ per capita),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,milt spending per person (current US$ per capita),,,131.25099966102286,135.48117358591753,163.7181192332018,,,,,269.53061019155484,279.1962271076175,365.66193028865825,332.7672949974859,428.53723169862485,428.20129889918417,788.4712830636101,1140.0981043818504,1264.7090160132955,1387.3970189011932,1827.430343728515,2192.258973372876,2573.7200130980077,4022.52158151217,1904.5227788905845,1370.3418777892134,2212.2131221907,1752.5473915746393,1471.5941362737133,1595.322184609711,1412.0447733708331,1512.9947844391322,1996.6293038275548,2048.713319550791,1975.202545347183,1502.7856905700742,1802.5948692241038,1846.7026495590155,1889.1688827137311,2270.2347265392154,2824.319161537032,2140.5236967570168,2057.9838851554973,2149.104561670323,1835.0844239351477,1947.3863648093327,1862.241195826243,1833.3607689755863,1910.7761016270742,2315.044287520829,3365.706527221521,3498.0823273636656,3258.285453605807,3951.513332836636,4816.78213324072,5353.725202076836,5845.832907834472,5294.2468014803435,5008.594547156259,5148.257120472345,5452.750447868214,5050.892926890883,,
Brazil,BRA,milt spending per person (current US$ per capita),,562.9127276982152,484.7299486152742,624.6786668447832,660.7350809421146,527.1269055769316,876.0838819181299,954.3333464981064,992.777934390448,993.0875696049092,1056.3956533485639,1284.910550946754,1321.9626345774732,1427.9080764771334,1670.4436294774607,1949.3224924167805,2275.5205664799137,2785.078849070169,2644.6778250638786,2790.2385064298683,2904.5877913809195,2216.8465147595907,2438.2029369129464,2902.667638563869,1970.3682635587722,1893.9870445319389,2355.971475486765,2369.3738640390397,3640.2520056386984,4872.36425332276,7812.947804599034,7328.570160891464,7805.015875436252,3951.288541622732,5381.2357519804555,7057.260030346357,8841.827727016014,8549.19249029486,8333.36360967317,8456.332031571754,5723.574208063712,6489.795995017876,6161.70000087055,5363.673589973982,4617.045243398537,5315.3088780062435,7300.690277796689,8718.35230508345,10774.359502625608,12733.664547914323,13228.973320021603,17374.121291672207,18700.833362395526,17054.01383286508,16352.619051233882,16112.702911121713,12035.66954252718,11759.942035284861,14089.350157550774,13571.000995616683,12866.755541489083,,
Barbados,BRB,milt spending per person (current US$ per capita),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,milt spending per person (current US$ per capita),,,,,,,,,,,,,,,,,,,,,,,,,,44627.173981306805,45335.22791641063,47707.38052946315,43972.94098692598,72991.42299787448,73734.2165388319,87601.62492317348,89052.89752198801,95391.11817044963,83668.06688425118,84477.61053401402,87271.17142105593,104949.50585790504,119687.44462957581,95582.26447256506,86447.14882897452,73296.79282172486,64017.319007302496,65223.27445072265,68886.20678018373,55472.07739272007,61332.464055472956,71376.50138849826,77744.26133251205,85799.68330123826,82219.76817017636,100535.43439294187,105510.556001255,103073.41819773178,101895.88343281782,128804.78033832181,102197.65097825223,96121.98464364774,81862.73858605299,83386.61421570052,104008.57174273705,,
Bhutan,BTN,milt spending per person (current US$ per capita),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,BWA,milt spending per person (current US$ per capita),,,,,,,,,,,,,,,,,,,765.2848096629394,2038.854812282162,3318.5560349238904,3790.1351354328262,3437.502662141163,2840.363591407906,2737.6631577878557,2931.9783216155597,2277.0203955764914,3338.9797075924344,8158.5363131861095,10797.210668494203,8843.919029487477,13094.688959641908,13684.858018137333,13632.044815815845,14669.14834202068,11904.608840229394,11290.556303981954,9341.319430250767,10419.626934134114,11489.261867776948,10531.023749509248,11240.542739450528,12558.780707483362,13114.088339755172,17355.683891416727,17787.18394482899,15757.1144919602,14882.4592311669,16340.142790799913,17351.824269940582,16900.39945312427,17546.82394680504,18027.51466405885,15981.96589966864,14857.38607069127,16579.480376154697,18089.543290070975,23812.664054098776,23724.6947572107,22155.571131167777,22054.486274162216,,
Central African Republic,CAF,milt spending per person (current US$ per capita),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750.3257963631164,783.4946482289589,628.4813189811407,340.9792618328762,403.83353752514495,368.6623351382024,,,,,,289.20099554132906,397.3538104744015,385.42796573670694,381.24682914324586,,455.27595630501906,737.3435119664031,862.1631585034451,1268.6379804272847,1253.3327686860448,1114.7003242775413,1200.154070649046,957.2973163857904,636.3687768858625,614.6820737917768,647.4781457078025,681.9255867340754,701.0762728953615,,
Canada,CAN,milt spending per person (current US$ per capita),,9455.726184745849,9249.207147450114,9072.563695138806,8597.228069352592,8692.648673209582,8117.8822068501095,8176.246361054285,8840.518145545966,8807.814997237061,8558.41949431103,9022.82723729106,9634.662262450809,10239.326784279685,10699.940567751304,12545.577086626761,13997.456701436966,15556.526928078845,16105.709310153683,16868.677953861723,17187.173816695282,19709.886127281065,21096.026474978153,24393.871924367177,27940.314563143893,29382.17137056388,29604.06233971384,30501.245560237858,33638.489900402084,37623.33761079436,40076.75708007675,42012.91718800359,41260.68305723871,38871.75681113077,36655.79601626265,33823.968141770514,32035.683077594706,29797.943886623154,27204.533774198568,26321.957093361107,27613.81789552101,27046.65556611505,26999.0702192875,27090.1981820182,31468.51645345557,35492.924677968076,40279.75354365241,45467.7212199463,52957.30089628691,58178.82772622488,56309.391230261885,56802.562317727505,62300.985076652505,59057.7417571306,52908.402025965275,50500.06887322574,50128.8522099405,49028.85829675533,60929.318241364075,61399.97522486225,59145.16150019711,,
Central Europe and the Baltics,CEB,milt spending per person (current US$ per capita),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6047.524424797298,5995.110980131096,5700.217852611146,6266.760529393654,8475.036762994978,8517.94149827527,8721.27838430582,8914.43052401346,7782.737299979948,7340.843510035778,8234.691171200879,9356.21208079008,11059.630625307835,12576.062645908658,14826.064931231125,16055.411160154925,19846.17776379741,22346.598321564303,18767.706532097767,18626.475248714596,19619.46561058771,18178.999398937653,18794.17919385888,20070.69569530872,19246.421522773002,19041.78725202373,21690.57888267317,26545.318902999654,29529.591352904863,,
Switzerland,CHE,milt spending per person (current US$ per capita),,4185.015531814972,4867.331929254036,5472.4920784319975,5772.936453797742,6342.918586428148,6467.226868426221,7047.585170106363,7053.548051089283,6794.846333179189,7351.579169427502,8260.448264368735,9636.032904304384,11246.543605134071,14199.867596861472,16403.507245971305,19062.624903842752,22815.88039940504,22862.568959819135,31105.270793406216,36179.01146776885,31611.848638687854,28522.713800568512,30206.516965284907,30327.77758165756,28069.14574954952,30395.52218622153,39451.67909654563,46167.035562341676,49672.63523471408,46337.511632929956,60415.07812300609,59051.261647875726,60239.148284106835,52082.34866050508,55747.77177228804,65977.06543173338,59948.748892098105,49348.161956388256,49145.968309485936,44047.01610598911,38977.139829364634,38226.06743266669,39571.92138115405,44559.45380541194,47415.350914132316,46853.93033021566,44483.015785107484,46677.28015058259,53590.42889781865,52373.23678027371,52593.86510933835,62861.659125948834,57424.58158467576,62216.22628496514,56331.37927962572,54586.574294879625,54611.32174312445,54755.43356424403,54671.997962754074,59700.79610060463,,
Channel Islands,CHI,milt spending per person (current US$ per capita),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,milt spending per person (current US$ per capita),,1575.8837927729253,1958.2056971382472,1944.7633336982428,1877.5576434996822,1786.9934883804867,1934.566353911378,2114.1173238943575,2043.7117261512642,1912.7694430095105,1967.7044761122681,4151.65436144944,6857.974696795227,7773.058538441974,10305.65089776703,11051.020456574874,4851.9250749246185,5850.3164925893625,8839.95055797556,9701.562731354943,12267.849699022801,16482.434025081522,20923.171606247597,19143.940608934772,12949.398764143481,12355.988046760654,9966.413585164406,9544.323145208049,9924.72709066028,8391.103631651768,8215.979770693191,8485.51536268746,7989.711146274809,8806.072165150326,9569.442503865117,10453.084501418776,13085.173246627763,13103.387049946285,14353.1038696754,14105.757226585489,13453.58269918961,13718.890446711666,12202.708536544313,11347.245194511486,13047.438469476903,16775.508182185054,19159.70295177804,23574.602527622978,24352.882790823565,27801.518857328345,23143.99558725836,28718.62869976305,33022.24404131802,31423.729566266436,31470.726140533883,28733.53906676867,25770.39236596105,26354.031477912104,28962.882627018414,29617.03211648666,27135.51160299294,,
China,CHN,milt spending per person (current US$ per capita),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,771.0451661049159,792.5686005414424,781.8545021105436,910.56634664627,740.4038704151716,816.7588815383311,1046.3760976882884,1196.1078689310148,1309.2667581411404,1411.3214401657067,1678.5041221502415,1810.6752866700656,2184.0860560044,2498.168292285789,2708.768858061947,3096.199509391368,3487.310159167777,4187.233555992544,5130.156705667925,6505.459170313064,7904.706376599646,8679.701089627582,10304.543786932036,11600.715760595082,13163.160244389039,14634.244280427021,15411.550304299433,15725.819683064845,16835.678523049013,18919.178671032736,19380.186416086257,,
Cote d'Ivoire,CIV,milt spending per person (current US$ per capita),,,,218.2798949609469,194.01625623972333,258.78788009639004,287.16976505924765,295.1874896173341,312.8206072032917,315.48303446693745,319.3332769277217,336.9099812111649,446.02115613450707,562.3896504130894,485.38432872890274,671.9052267176386,715.584732726545,776.9356559861724,708.6432958069148,1180.29839566259,1336.805583450582,1474.7137148430345,1096.0920544261098,986.0717908752322,833.7838275470444,736.2686609075923,701.3880675654677,936.089153480032,1147.6395099590134,1154.61386835646,1128.5433051389064,1207.1880103293465,1166.913312197286,1225.1621100534985,1188.9592077478578,663.8131687707743,,699.3915139589205,617.3429512457084,,,,,,1213.015747545142,1398.191941443837,1361.9118958552183,1426.8147748920005,1690.2789704504755,1889.2774162481412,2102.5295173174145,1889.9883148858198,1682.3814671661999,1891.5375074353915,1947.3719636268872,2304.6720260202337,3391.6865671492546,3337.079444651166,2644.5260361261307,3081.640058521765,2595.006785928183,,
